coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
ADAUSDC,2024-12-20 10:00:00+00:00,2024-12-20 11:00:00+00:00,0.8181,0.761,25.0,-0.0697958684757365,-1.7448967118934127,0.04825510328810659,-1.7931518151815193,42.23091580230801,16
ADAUSDC,2024-12-20 11:00:00+00:00,2024-12-20 12:00:00+00:00,0.7928,0.8295,25.0,0.04629162462159443,1.1572906155398608,0.05115729061553986,1.106133324924321,43.33704912723233,17
ADAUSDC,2024-12-20 12:00:00+00:00,2024-12-20 13:00:00+00:00,0.761,0.861,25.0,0.13140604467805517,3.285151116951379,0.05328515111695138,3.231865965834428,46.568915093066764,18
ADAUSDC,2024-12-20 13:00:00+00:00,2024-12-20 14:00:00+00:00,0.8295,0.8538,25.0,0.029294755877034343,0.7323688969258586,0.05073236889692587,0.6816365280289327,47.250551621095696,19
ADAUSDC,2024-12-20 15:00:00+00:00,2024-12-20 16:00:00+00:00,0.8538,0.8781,25.0,0.02846099789177792,0.711524947294448,0.05071152494729445,0.6608134223471536,47.91136504344285,20
ADAUSDC,2024-12-27 08:00:00+00:00,2024-12-27 09:00:00+00:00,0.8627,0.9008,25.0,0.044163672191955515,1.104091804798888,0.05110409180479889,1.052987712994089,48.96435275643694,21
ADAUSDC,2025-02-03 02:00:00+00:00,2025-02-03 03:00:00+00:00,0.625,0.6589,25.0,0.054240000000000066,1.3560000000000016,0.051356,1.3046440000000017,50.26899675643694,22
ADAUSDC,2025-02-03 04:00:00+00:00,2025-02-03 05:00:00+00:00,0.6602,0.6833,25.0,0.03498939715237808,0.874734928809452,0.05087473492880945,0.8238601938806426,51.09285695031758,23
ADAUSDC,2025-02-03 06:00:00+00:00,2025-02-03 07:00:00+00:00,0.6831,0.7195,25.0,0.05328648806909674,1.3321622017274186,0.05133216220172742,1.2808300395256913,52.37368698984327,24
ADAUSDC,2025-02-03 09:00:00+00:00,2025-02-03 10:00:00+00:00,0.6977,0.7166,25.0,0.027089006736419705,0.6772251684104926,0.0506772251684105,0.6265479432420822,53.00023493308535,25
